Academic Vocabulary List - Core Academic Words
Source file: acadCore.xlsx
Each entry contains rank, word, part of speech, academic frequency, ratio, dispersion, and range.

Rank 1: study (n). Academic frequency: 137208; ratio: 2.5235099227903999; dispersion: 0.92650893496804898; range: 8.
Rank 2: group (n). Academic frequency: 122011; ratio: 1.7152277601597401; dispersion: 0.94006317159093; range: 9.
Rank 3: system (n). Academic frequency: 110176; ratio: 1.7881558881186399; dispersion: 0.89733871561851397; range: 9.
Rank 4: social (j). Academic frequency: 99744; ratio: 2.3886911831449198; dispersion: 0.90463554790298795; range: 8.
Rank 5: provide (v). Academic frequency: 93212; ratio: 2.0051980855001701; dispersion: 0.94429388567555295; range: 9.
Rank 6: however (r). Academic frequency: 90906; ratio: 2.0964286624045299; dispersion: 0.95061747996771895; range: 8.
Rank 7: research (n). Academic frequency: 83325; ratio: 2.3035313946319902; dispersion: 0.918388877971549; range: 9.
Rank 8: level (n). Academic frequency: 78162; ratio: 2.0685601248161598; dispersion: 0.93918804903995701; range: 8.
Rank 9: result (n). Academic frequency: 72083; ratio: 2.0484927265917801; dispersion: 0.93755398576190596; range: 9.
Rank 10: include (v). Academic frequency: 70098; ratio: 1.6895262760068801; dispersion: 0.94544086463444699; range: 9.
Rank 11: important (j). Academic frequency: 67258; ratio: 1.5116942137999501; dispersion: 0.95437190292073104; range: 9.
Rank 12: process (n). Academic frequency: 66382; ratio: 2.0085414215921298; dispersion: 0.94580381780411105; range: 8.
Rank 13: use (n). Academic frequency: 64527; ratio: 2.153804603382; dispersion: 0.92610801820619604; range: 8.
Rank 14: development (n). Academic frequency: 63509; ratio: 2.22801274637883; dispersion: 0.94292360056775404; range: 8.
Rank 15: data (n). Academic frequency: 63480; ratio: 2.6162385791767599; dispersion: 0.89722124760565602; range: 8.
Rank 16: information (n). Academic frequency: 61931; ratio: 1.5844121092971499; dispersion: 0.933037293304396; range: 9.
Rank 17: effect (n). Academic frequency: 60078; ratio: 2.0404114100828701; dispersion: 0.93782344333670897; range: 8.
Rank 18: change (n). Academic frequency: 59284; ratio: 1.69190427661651; dispersion: 0.94016766263832796; range: 9.
Rank 19: table (n). Academic frequency: 59158; ratio: 1.54461665526147; dispersion: 0.92774456319983201; range: 9.
Rank 20: policy (n). Academic frequency: 58987; ratio: 1.7680290293245799; dispersion: 0.91010913216568201; range: 9.
Rank 21: university (n). Academic frequency: 57835; ratio: 1.6229195484271699; dispersion: 0.93383218213240704; range: 9.
Rank 22: model (n). Academic frequency: 57310; ratio: 2.1989487044535001; dispersion: 0.91887397137214899; range: 9.
Rank 23: experience (n). Academic frequency: 56541; ratio: 1.8602036711010901; dispersion: 0.938236457056846; range: 8.
Rank 24: activity (n). Academic frequency: 55151; ratio: 2.2822109760856; dispersion: 0.92923883582077704; range: 8.
Rank 25: human (j). Academic frequency: 54672; ratio: 1.7416833518361901; dispersion: 0.92835661921059798; range: 8.
Rank 26: history (n). Academic frequency: 53474; ratio: 1.5014711589648; dispersion: 0.93009580272540904; range: 8.
Rank 27: develop (v). Academic frequency: 52543; ratio: 2.02371454971555; dispersion: 0.94094741231937096; range: 9.
Rank 28: suggest (v). Academic frequency: 52412; ratio: 1.83538124098119; dispersion: 0.94950633346765201; range: 8.
Rank 29: economic (j). Academic frequency: 52368; ratio: 1.8924928944895401; dispersion: 0.90004605133223903; range: 9.
Rank 30: low (j). Academic frequency: 51858; ratio: 1.5431487200810301; dispersion: 0.92756446568969797; range: 9.
Rank 31: relationship (n). Academic frequency: 50744; ratio: 1.9272069478293801; dispersion: 0.92549773531417701; range: 8.
Rank 32: both (r). Academic frequency: 49946; ratio: 1.52733333550752; dispersion: 0.95471534236453204; range: 9.
Rank 33: value (n). Academic frequency: 49900; ratio: 1.96541455940737; dispersion: 0.95709073730220595; range: 9.
Rank 34: require (v). Academic frequency: 49554; ratio: 1.7974593194967501; dispersion: 0.94367301779305801; range: 9.
Rank 35: role (n). Academic frequency: 49426; ratio: 1.8060811474010601; dispersion: 0.94573094208082098; range: 8.
Rank 36: difference (n). Academic frequency: 49081; ratio: 1.92600730530437; dispersion: 0.92709073244988804; range: 8.
Rank 37: analysis (n). Academic frequency: 48500; ratio: 2.8513131197776298; dispersion: 0.92704701410823798; range: 8.
Rank 38: practice (n). Academic frequency: 47915; ratio: 2.0618464506864398; dispersion: 0.94542020316997599; range: 8.
